Landslide_ID,Latitude,Longitude,Month,Week,Rainfall_1Day,Rainfall_3Days,Rainfall_7Days,Landslide
83,9.835,76.866,12,4,2.1,0,0,0
84,9.835,76.866,12,2,30.3,50.5,50.6,0
85,9.915,77.011,2,3,0,0,0,0
86,9.915,77.011,1,4,1,0,0,0
87,9.896,76.935,2,4,0,0,0,0
88,9.896,76.935,1,2,4.1,0,50,0
89,9.879,76.968,12,4,5.9,0,0,0
90,9.879,76.968,12,2,49.3,19.1,20.9,0
91,9.854,76.947,3,5,5.2,0,0,0
92,9.854,76.947,3,4,0,59.7,114.3,0
93,9.801,76.901,12,3,0,0,0,0
94,9.831,76.941,3,3,57.9,54.6,54.6,0
95,9.831,76.941,2,2,0,0,0,0
96,9.99,76.789,10,4,71.4,154.2,280.6,0
97,9.99,76.789,10,1,80.5,41.5,44.3,0
98,9.99,76.789,10,3,67,47.4,71.3,0
99,9.998,76.733,6,5,73.4,13.6,98.3,0
100,9.998,76.733,6,3,69.6,32.2,89.5,0
101,9.998,76.733,6,2,30.3,17.1,29.5,0
102,10.049,76.761,7,4,68.8,64.3,245.2,0
103,10.049,76.761,7,3,93.3,87.6,168.4,0
104,10.049,76.761,6,4,62.6,38.4,92.5,0
105,10.007,76.711,8,5,52.8,24.2,43.7,0
106,10.007,76.711,8,2,47.8,76.1,90.8,0
107,10.007,76.711,7,3,103.6,117,137.4,0
108,10.001,76.742,7,4,51.3,301,478.5,0
109,10.001,76.742,7,2,54.5,277.3,612.1,0
110,9.99,76.789,10,3,58.7,100.7,150.3,0
111,9.99,76.789,10,3,55.8,214.6,345.8,0
112,9.998,76.733,6,4,7.2,8.6,18,0
113,9.998,76.733,6,4,4.6,4.8,21.1,0
114,10.049,76.761,8,1,139,338.3,468.7,0
115,10.049,76.761,8,1,65.3,65.1,107.9,0
116,10.007,76.711,8,3,0,1.8,56.2,0
117,10.007,76.711,8,3,13.8,73.6,179.3,0
118,10.001,76.742,8,1,40.2,367.8,588.4,0
119,10.001,76.742,8,1,32.6,38,74,0
120,9.99,76.789,12,2,30.8,68.4,70.2,0
121,9.99,76.789,11,5,37.7,23.8,23.8,0
122,9.998,76.733,12,2,4.5,80.6,80.8,0
123,9.998,76.733,11,5,6.6,22.3,22.3,0
124,10.049,76.761,4,4,16.8,0,0,0
125,10.049,76.761,3,3,18.6,1.2,1.2,0
126,10.007,76.711,1,2,13.2,1.4,58.8,0
127,10.007,76.711,2,3,0,0,0,0
128,10.001,76.742,4,4,13.2,10.6,27.4,0
129,9.572,76.887,10,2,97.4,84.4,220.9,0
130,9.572,76.887,10,4,49,111.2,154.6,0
131,9.572,76.887,10,2,81.4,19.9,166.3,0
132,9.617,76.872,10,2,69.6,56.4,142.2,0
133,9.617,76.872,10,4,58.8,74.8,163,0
134,9.617,76.872,10,2,45.4,46.8,155.8,0
135,9.553,76.93,8,1,159.4,81.6,126.2,0
136,9.553,76.93,8,2,34.6,61,475.6,0
137,9.572,76.887,10,3,70.4,70,128.2,0
138,9.572,76.887,10,3,29,52.8,74.2,0
139,9.617,76.872,10,3,56.2,19.8,55,0
140,9.617,76.872,10,3,10.4,7.6,38.7,0
141,9.617,76.872,10,3,36.4,94.8,201.3,0
142,9.553,76.93,8,3,18.6,88.2,125.6,0
143,9.553,76.93,8,3,13.6,94.8,176.8,0
144,9.572,76.887,5,2,55,80.6,130.6,0
145,9.572,76.887,11,2,45.6,107.6,157,0
146,9.617,76.872,12,4,14,0,0,0
147,9.617,76.872,12,2,13,0.8,9.2,0
148,9.553,76.93,5,2,86.8,54.6,295.8,0
149,9.727,76.808,8,1,190,79,171,0
150,9.727,76.808,7,4,50,54,153,0
151,9.727,76.808,8,2,14,87,305,0
152,9.699,76.817,8,2,12,3,3,0
153,9.699,76.817,8,5,27,0,0,0
154,9.733,76.84,5,2,93,13,15,0
155,9.733,76.84,5,4,56,15,31,0
156,9.733,76.84,6,1,79,23,27,0
157,9.727,76.808,8,3,26,56,172,0
158,9.727,76.808,8,3,0,0,2,0
159,9.699,76.817,8,3,0,3,57,0
160,9.699,76.817,8,3,8,30,57,0
161,9.733,76.84,5,4,84,68,371,0
162,9.733,76.84,5,4,57,96,238,0
163,9.733,76.84,5,4,57.3,10.9,131,0
164,9.727,76.808,12,2,24,0,2,0
165,9.727,76.808,12,1,2,0,155,0
166,9.699,76.817,2,2,0,0,0,0
167,9.699,76.817,1,4,3,0,0,0
168,9.733,76.84,12,3,30,0,0,0
169,10.323,76.432,8,5,112.4,81.6,85.2,0
170,10.323,76.432,7,3,67.2,50.2,140.2,0
171,10.323,76.432,8,2,35.2,80,315.2,0
172,10.322,76.433,8,4,0,0,0,0
173,10.322,76.433,8,2,1.1,12,42.2,0
174,10.323,76.432,8,1,56,18,38,0
175,10.323,76.432,8,1,3,15,73.4,0
176,10.322,76.433,8,1,128.2,273,406.8,0
177,10.322,76.433,8,1,19.4,195,477.2,0
178,10.323,76.432,12,4,0,0,0,0
179,10.323,76.432,11,5,5.3,0,0,0
180,10.322,76.433,2,3,0,0,0,0
181,10.322,76.433,1,4,48,0,0,0
182,10.322,76.433,12,3,3.4,0,19.2,0
183,9.943,76.374,8,5,68.7,111.3,115.3,0
184,9.943,76.374,8,2,7.5,59.4,336.3,0
185,9.943,76.374,7,2,46.5,90.2,156.4,0
186,9.899,76.39,9,5,87.1,46.1,116.2,0
187,9.899,76.39,9,2,72.8,75.7,137.5,0
188,9.943,76.374,8,1,4.8,6,25.9,0
189,9.943,76.374,8,1,67.9,69,80.8,0
190,9.899,76.39,9,4,19,0,68.2,0
191,9.899,76.39,9,4,22.1,0.5,0.5,0
192,9.943,76.374,12,2,45.6,0.3,14.3,0
193,9.943,76.374,12,4,1.4,0,0,0
194,9.899,76.39,2,2,0,0,0,0
195,9.899,76.39,1,4,15.8,0,0,0
196,10.061,76.633,8,5,110.8,140,174.6,0
197,10.061,76.633,8,2,16.4,43,414,0
198,10.061,76.633,7,2,56.8,75,190.6,0
199,10.06,76.635,8,5,17.6,1,1,0
200,10.06,76.635,7,1,100.4,111.8,173,0
201,10.061,76.633,8,1,56.2,22.8,47.8,0
202,10.061,76.633,8,1,12,13,63.6,0
203,10.06,76.635,8,3,0,12.2,47.6,0
204,10.06,76.635,8,3,16.8,57.2,164.4,0
205,10.061,76.633,12,2,42.8,0.8,33,0
206,10.061,76.633,12,4,9.2,0,0,0
207,10.06,76.635,3,3,5.6,0,0,0
208,10.06,76.635,3,4,18.8,0,1.2,0
209,8.495,76.921,11,4,151.8,37.2,42.4,0
210,8.495,76.921,11,1,38,36.4,46.8,0
211,8.495,76.921,10,3,152.4,173.8,184.4,0
212,8.486,76.952,11,3,76,5.2,24.4,0
213,8.486,76.952,11,1,31.4,2.2,48.8,0
214,8.495,76.921,11,2,13.6,51.9,91.1,0
215,8.495,76.921,11,2,3,2.2,38.6,0
216,8.486,76.952,11,2,85.4,27.4,97.8,0
217,8.486,76.952,11,2,69.4,1,8.4,0
218,8.495,76.921,1,5,4.8,0,2.8,0
219,8.495,76.921,1,4,2.8,0,0,0
220,8.486,76.952,12,4,7.8,2.4,2.6,0
221,8.486,76.952,12,1,20.4,12.6,31.6,0
222,11.782,76.229,7,4,115,161.2,364,0
223,11.782,76.229,7,3,187.6,271.8,368.8,0
224,11.782,76.229,7,2,87,10,72.4,0
225,11.782,76.229,7,5,0,86.6,536,0
226,11.782,76.229,7,5,4,0.8,26.8,0
227,11.782,76.229,1,2,32.6,66.8,109.2,0
228,11.045,76.539,10,4,56.4,85.2,177.4,0
229,11.045,76.539,10,3,65.4,10,260.1,0
230,11.045,76.539,10,1,30.2,35.5,102,0
231,11.045,76.539,10,2,22.4,0,34.6,0
232,11.045,76.539,10,2,9,67,68,0
233,11.045,76.539,12,1,65.6,49,50.6,0
234,10.161,77.011,8,5,143.8,350.4,364,0
235,10.161,77.011,8,2,35.8,128.4,603.6,0
236,10.161,77.011,7,4,97,1.2,116.6,0
237,10.161,77.011,8,1,54.2,48.8,82,0
238,10.161,77.011,8,1,15.8,10.9,106,0
239,10.161,77.011,12,2,19.8,51.8,56.9,0
240,9.424,76.937,8,2,24,0,0.4,0
241,9.424,76.937,7,4,43.2,17.6,66.6,0
242,9.424,76.937,8,5,9,7.4,7.4,0
243,9.424,76.937,8,1,83,331.6,457.2,0
244,9.424,76.937,8,1,47.8,255.2,496.2,0
245,9.424,76.937,1,4,13,0,0,0
246,9.633,76.979,6,4,107,135,248,0
247,9.633,76.979,7,3,139,184,206,0
248,9.633,76.979,6,5,32,203,369,0
249,9.633,76.979,6,1,54,23,34,0
250,9.633,76.979,6,1,9,1,7,0
251,9.633,76.979,2,3,0,0,0,0
252,11.269,76.222,9,5,80.2,49.6,131.8,0
253,11.269,76.222,9,2,70.2,70.4,201.6,0
254,11.269,76.222,9,1,68.6,18.2,18.2,0
255,11.269,76.222,9,3,0,40.2,93.6,0
256,11.269,76.222,9,3,4.4,105.8,168,0
257,11.269,76.222,1,4,0.8,0,0,0
258,11.405,76.038,7,1,120.8,186.2,278.4,0
259,11.405,76.038,6,5,75.1,45.8,74.8,0
260,11.405,76.038,7,2,74.2,285.8,385.2,0
261,11.405,76.038,7,4,23,3.2,21.7,0
262,11.405,76.038,7,4,75,121,236,0
263,11.405,76.038,1,2,0,0,0,0
264,9.868,76.77,10,1,113.7,108.7,144.1,0
265,9.868,76.77,10,3,53.1,27.4,44.3,0
266,9.868,76.77,9,1,72.6,30.8,59,0
267,9.868,76.77,10,4,23.2,57.2,206.9,0
268,9.868,76.77,10,4,23.1,61.4,365.4,0
269,9.868,76.77,1,4,6.7,0,0,0
270,10.303,76.76,7,4,76,92.4,119.4,0
271,10.303,76.76,8,5,19.2,0,0,0
272,10.303,76.76,7,2,79.8,258.8,301.8,0
273,10.303,76.76,8,1,69.6,281.4,428.4,0
274,10.303,76.76,8,1,79.3,28.8,51.5,0
275,10.303,76.76,1,4,43.6,0,0,0
276,9.999,77.031,8,5,18.2,0,0,0
277,9.999,77.031,7,4,56.4,101.2,206.8,0
278,9.999,77.031,7,2,63.1,393.9,564.2,0
279,9.999,77.031,8,1,140.8,264.7,367.8,0
280,9.999,77.031,8,1,32.6,38,74,0
281,9.999,77.031,3,3,18.6,1.2,1.2,0
282,10.053,76.479,7,1,133.4,140.5,186.4,0
283,10.053,76.479,7,2,50.4,210,362.8,0
284,10.053,76.479,6,3,32.4,26.3,84.4,0
285,10.053,76.479,7,4,17,0.1,17.8,0
286,10.053,76.479,7,4,32.4,33.6,142.8,0
287,10.053,76.479,2,1,0.6,0,0,0
288,11.274,75.828,7,1,116.4,90.2,188.8,0
289,11.274,75.828,6,5,70.2,45.2,62.8,0
290,11.274,75.828,6,3,52.2,33.2,98.8,0
291,11.274,75.828,6,4,56.4,27,76.4,0
292,11.274,75.828,6,4,19.8,13.6,34.6,0
293,11.274,75.828,1,2,0,0,0,0
294,10.077,76.322,10,5,6.7,0.6,62.8,0
295,10.077,76.322,10,2,56.2,35.6,70.6,0
296,10.077,76.322,11,1,97.4,0,7.3,0
297,10.077,76.322,10,4,10.4,15.6,21.4,0
298,10.077,76.322,10,4,0,23,51.6,0
299,10.077,76.322,1,1,32.4,130.5,130.7,0
300,11.709,76.074,7,1,120.2,88.6,114.4,0
301,11.709,76.074,6,1,31.8,14.6,73.8,0
302,11.709,76.074,6,2,17.2,15.2,15.2,0
303,11.709,76.074,6,4,40.9,30.2,56,0
304,11.709,76.074,6,4,3.6,0,10,0
305,11.709,76.074,1,2,0,0,0,0
306,11.448,75.829,10,2,78,94.8,118.6,0
307,11.448,75.829,10,4,16,0,10.2,0
308,11.448,75.829,11,3,24.5,5.7,5.7,0
309,11.448,75.829,10,1,62.2,117.2,143.9,0
310,11.448,75.829,10,1,37.4,2.8,48.6,0
311,11.448,75.829,1,1,95,45.4,46.4,0
312,11.837,75.857,8,1,105.4,58.2,63.2,0
313,11.837,75.857,8,5,37.6,55,72.6,0
314,11.837,75.857,7,2,97.2,306.8,547.8,0
315,11.837,75.857,8,3,19.4,47.2,105.2,0
316,11.837,75.857,8,3,2,1.8,46.6,0
317,11.837,75.857,12,2,9.6,9.8,9.8,0
318,11.858,75.361,7,4,82,93.2,115.2,0
319,11.858,75.361,7,1,148.2,163.2,345.8,0
320,11.858,75.361,7,2,62.2,23.4,207.4,0
321,11.858,75.361,7,3,65.2,153,381,0
322,11.858,75.361,7,3,24.4,55.6,89.7,0
323,11.858,75.361,1,4,1.2,0,0,0
324,10.084,77.07,6,4,119.4,61.6,123.6,0
325,10.084,77.07,6,2,2.3,0,0,0
326,10.084,77.07,7,4,170.4,249,368.2,0
327,10.084,77.07,6,1,10,7.2,22.2,0
328,10.084,77.07,6,1,19.6,5.8,38.7,0
329,10.084,77.07,3,3,22.1,0,0,0
330,10.054,76.829,8,5,52.8,24.2,43.7,0
331,10.054,76.829,8,2,47.8,76.2,90.8,0
332,10.054,76.829,7,2,50.8,8,33.6,0
333,10.054,76.829,8,1,13.4,2.1,6.3,0
334,10.054,76.829,8,1,43.4,243.7,594.8,0
335,10.054,76.829,1,2,13.2,1.4,58.8,0
336,9.521,77.02,6,3,38,3,31.2,0
337,9.521,77.02,7,4,43.2,17.6,66.6,0
338,9.521,77.02,6,5,125,31.4,112.4,0
339,9.521,77.02,6,1,42,62,109.4,0
340,9.521,77.02,6,1,54,18.5,49.2,0
341,9.521,77.02,3,4,54.2,0,23.6,0
342,11.482,75.996,10,5,17,1.2,52.4,0
343,11.482,75.996,10,2,45,17.2,32.6,0
344,11.482,75.996,10,2,154.4,28.2,108.5,0
345,11.482,75.996,10,1,89.4,59.6,75.8,0
346,11.482,75.996,10,1,3,0,8.8,0
347,11.482,75.996,1,2,32.6,66.8,109.2,0
348,9.872,76.705,6,2,77,51,121.6,0
349,9.872,76.705,6,5,100.6,116,190.8,0
350,9.872,76.705,7,4,132.3,132,220.2,0
351,9.872,76.705,6,1,46.2,22.2,162.2,0
352,9.872,76.705,6,1,20.8,34.7,52.8,0
353,9.872,76.705,1,4,17,0,0,0
354,8.456,77.009,11,4,78,30.4,64.6,0
355,8.456,77.009,11,1,146.6,7.1,58.6,0
356,8.456,77.009,10,3,108.4,160.8,163.6,0
357,8.456,77.009,11,2,9.6,4.2,79.6,0
358,8.456,77.009,11,2,72.3,5.2,52.8,0
359,8.456,77.009,4,1,21.8,0.8,0.8,0
360,9.599,76.529,8,5,58.6,12,13.2,0
361,9.599,76.529,8,2,82,6.8,13.2,0
362,9.599,76.529,8,4,142.2,19.2,29.2,0
363,9.599,76.529,8,1,2.4,1,1,0
364,9.599,76.529,8,1,56.2,45.6,68.5,0
365,9.599,76.529,1,3,3.2,0,0,0
366,9.602,77.154,6,1,17.6,23.9,87.8,0
367,9.602,77.154,6,3,27.6,0,1.4,0
368,9.602,77.154,11,2,62.2,19.4,32.6,0
369,9.853,77.134,6,1,8.2,0,0,0
370,9.853,77.134,6,3,43.4,61.4,85.8,0
371,9.853,77.134,11,2,90,69.4,99.8,0
372,9.759,77.124,6,1,20.4,38.5,100.1,0
373,9.759,77.124,6,3,76.8,78.4,118.2,0
374,9.759,77.124,11,2,42,31.4,39.8,0
375,11.795,75.988,7,2,84.7,178.4,236.2,0
376,11.795,75.988,7,4,97.4,127,196.4,0
377,11.795,75.988,1,5,0,0,0,0
378,11.635,76.201,7,2,90.8,77.2,98.6,0
379,11.635,76.201,7,4,100.4,138,190.2,0
380,11.635,76.201,1,5,0.1,0,0,0
381,11.924,75.988,7,2,79,241,321.9,0
382,11.924,75.988,7,4,108.6,145.7,196.8,0
383,11.924,75.988,1,5,0,0,0,0
384,9.277,76.772,8,1,44.8,33.4,47,0
385,9.277,76.772,8,3,6.2,1.4,2.3,0
386,9.277,76.772,10,1,74.4,22,47.6,0
387,9.362,77.018,8,1,84.8,50.4,69.6,0
388,9.362,77.018,8,3,7,2,3.4,0
389,9.362,77.018,10,1,42.2,4.8,16.8,0
390,9.418,76.878,8,1,49.8,57.2,69,0
391,9.418,76.878,8,3,2.8,2,6.9,0
392,9.418,76.878,10,1,45,3.2,16.4,0
393,10.547,76.795,10,1,70.4,0,25.8,0
394,10.547,76.795,10,4,56.4,80.2,121.6,0
395,10.547,76.795,3,3,37.4,0,0,0
396,10.687,76.498,10,1,35.6,0,23.5,0
397,10.687,76.498,10,4,68.4,20.6,161.6,0
398,10.687,76.498,3,3,5,0,0,0
399,10.507,76.498,10,1,25.6,0,48.7,0
400,10.507,76.498,10,4,34.6,71.8,165.2,0
401,10.507,76.498,3,3,12.4,0,0,0
402,10.785,76.138,10,1,43,20.8,27,0
403,10.785,76.138,10,4,61.8,5.9,28.9,0
404,10.785,76.138,3,3,0,0,0,0
405,9.58,76.929,6,2,75,44.2,187,0
406,9.58,76.929,6,5,24.2,10.8,102,0
407,9.58,76.929,11,3,24.6,0,72,0
408,9.706,76.788,6,2,62,24,139,0
409,9.706,76.788,6,5,28,15.4,87,0
410,9.706,76.788,11,3,29,8.4,36.7,0
411,9.576,76.634,6,2,53.6,91.2,118.2,0
412,9.576,76.634,6,5,37.6,10,112.2,0
413,9.576,76.634,11,3,52.2,31.2,31.6,0
414,8.876,76.589,11,2,21.4,8,16.4,0
415,8.876,76.589,11,4,79.6,27.8,64.3,0
416,8.876,76.589,12,3,41,1,1.6,0
417,8.81,76.674,11,2,57.8,7.8,15.6,0
418,8.81,76.674,11,4,82.8,38.2,76.8,0
419,8.81,76.674,12,3,38.6,8.8,10.6,0
420,8.99,77.154,11,2,33.6,4.6,40.4,0
421,8.99,77.154,11,4,39,18,78.4,0
422,8.99,77.154,12,3,108.2,4.8,25.8,0
423,11.361,76.301,7,1,14,0,1.4,0
424,11.361,76.301,7,3,56.8,107,220.4,0
425,11.361,76.301,3,5,6.2,0,0,0
426,11.092,76.226,7,1,3.1,0.2,0.2,0
427,11.092,76.226,7,3,100.4,122.2,264,0
428,11.092,76.226,3,5,0,0,0,0
429,10.978,76.233,7,1,14,0,16,0
430,10.978,76.233,7,3,105.2,171.6,328,0
431,10.978,76.233,3,5,2.2,0,0,0
432,8.735,76.704,10,1,77.4,6.4,34.7,0
433,8.735,76.704,10,5,16.4,6.4,28.4,0
434,8.735,76.704,1,3,0,0,0,0
435,8.763,77.112,10,1,48.4,34.6,52.6,0
436,8.763,77.112,10,5,8.4,0,10.6,0
437,8.763,77.112,1,3,0,0,0,0
438,8.771,77.079,10,1,66,27.2,19.2,0
439,8.771,77.079,10,5,14.6,7.6,62.8,0
440,8.771,77.079,1,3,0,0,0,0
441,9.874,76.484,6,1,109.2,19.2,19.2,0
442,9.874,76.484,6,4,31.3,11.5,70.6,0
443,9.874,76.484,5,5,44.4,8.7,19.9,0
444,10.136,76.661,6,1,34.6,16.8,46.2,0
445,10.136,76.661,6,4,20.2,12,167.9,0
446,10.136,76.661,5,5,46,0,14.6,0
447,10.042,76.775,6,1,35.4,27.6,106,0
448,10.042,76.775,6,4,33.4,23.6,69.8,0
449,10.042,76.775,5,5,38.4,1.2,95.2,0
450,10.097,76.356,6,1,82.1,16,17.4,0
451,10.097,76.356,6,4,53.4,9.4,26.2,0
452,10.097,76.356,5,5,1.4,0,19.7,0
453,9.254,76.587,11,2,41.4,26,63.8,0
454,9.254,76.587,11,5,55.6,21,48.6,0
455,9.254,76.587,2,3,0,0,0,0
456,9.439,76.424,11,2,70,5.8,2,0
457,9.439,76.424,11,5,39,29.4,47.2,0
458,9.439,76.424,2,3,0,0,0,0
459,9.375,76.355,11,2,45.2,4.4,6.6,0
460,9.375,76.355,11,5,90.8,26,74.8,0
461,9.375,76.355,2,3,0,0,0,0
462,11.492,75.616,8,1,36,18.6,42.4,0
463,11.492,75.616,8,3,20,8,32,0
464,11.492,75.616,4,5,0,0,0,0
465,11.562,75.766,8,1,29.8,32,66.8,0
466,11.562,75.766,8,3,23.2,10.4,37.1,0
467,11.562,75.766,4,5,0,0,0,0
468,11.718,75.704,8,1,42.2,51,77.4,0
469,11.718,75.704,8,3,28,18.1,42.3,0
470,11.718,75.704,4,5,0,0,0,0
471,12.264,75.318,10,2,57.6,3,38.2,0
472,12.264,75.318,10,4,26.3,15.2,42,0
473,12.264,75.318,12,3,0,1.2,28.2,0
474,12.715,74.882,10,2,36,15.6,72.6,0
475,12.715,74.882,10,4,58,27,39,0
476,12.715,74.882,12,3,0,0,0,0
477,12.549,75.007,10,2,45.8,24,49.8,0
478,12.549,75.007,10,4,19.6,0,84,0
479,12.549,75.007,12,3,12.6,0,0,0
480,9.646,76.722,10,2,50,16.4,63,0
481,9.646,76.722,10,4,48,0.2,37.4,0
482,9.646,76.722,12,3,0,0,30,0
483,11.259,76.087,8,2,48.2,17.2,42.4,0
484,11.259,76.087,8,4,41.2,44.5,59.8,0
485,11.259,76.087,3,5,15.1,0,0,0
486,12.109,75.181,8,2,44.4,13.8,75.2,0
487,12.109,75.181,8,4,2.4,1.1,5.3,0
488,12.109,75.181,3,5,0,0,0,0
489,10.434,76.332,8,2,44.6,3.2,85.8,0
490,10.434,76.332,8,4,18,8.5,8.7,0
491,10.434,76.332,3,5,0,0,0,0
492,11.862,75.671,11,1,46,15.1,57.3,0
493,11.862,75.671,11,5,3,0,5,0
494,11.862,75.671,1,3,0,0,0,0
495,11.857,75.746,11,1,44,8.2,66.4,0
496,11.857,75.746,11,5,0,1.2,4.8,0
497,11.857,75.746,1,3,0,0,0,0
498,12.199,75.469,11,1,78.4,11,28,0
499,12.199,75.469,11,5,7.2,0,1.2,0
500,12.199,75.469,1,3,0,0,0,0
